company,website,country,city,property_count,property_count_source_url,email,email_source_url,booking_setup,incumbent_software,companies_house_no,status,disqualify_reason
Host My Home,hostmyhome.co.uk,UK,Penzance Cornwall,"over 40",https://hostmyhome.co.uk/,info@hostmyhome.co.uk,https://hostmyhome.co.uk/,online_booking,Guesty,,lost,"Guesty backend + reservations subdomain; already solved"
Cornish Secrets,cornishsecrets.co.uk,UK,Bude Cornwall,not stated,,info@cornishsecrets.co.uk,https://www.cornishsecrets.co.uk/holiday-letting-agents/,enquiry_form,Anytime Booking,,lost,"Enquiry-only front end but already pays for Anytime Booking (guest + owner portals)"
Forever Cornwall Limited,forevercornwall.co.uk,UK,Falmouth & Bude Cornwall,not stated,,info@forevercornwall.co.uk,https://www.forevercornwall.co.uk/let-with-us/,portal,SuperControl,,lost,"SuperControl (secure.supercontrol.co.uk owner login)"
Wheelwrights Cottages Limited,wheelwrights.com,UK,Lake District,not stated,,enquiries@wheelwrights.com,https://www.wheelwrights.com/let-your-cottage/,online_booking,own or unnamed,09751392,lost,"States guests view live availability then book and pay securely"
Cornish Collection Ltd,cornishcollection.co.uk,UK,Looe Cornwall,not stated,,enquiries@cornishcollection.co.uk,https://www.cornishcollection.co.uk/holiday-letting-agents-looe,search_form,unnamed + owners portal,04829229,lost,"Date/occupancy search form and owner portal; not an enquiry-only site"
Aspects Holidays Ltd,aspects-holidays.co.uk,UK,St Ives Cornwall,not stated,,hello@aspects-holidays.co.uk,https://www.aspects-holidays.co.uk/owners/,portal,unnamed (portal.aspects-holidays.co.uk),08170265,lost,"Dedicated owner portal subdomain implies an existing PMS"
Heartland Cabin Rentals,heartlandrentals.com,US,Gatlinburg TN,not stated,,none published (phone only),,online_booking,Book on the Bright Side,,lost,"24/7/365 online booking; also fails the generic-mailbox qualifier"
Bear Camp Cabin Rentals,bearcampcabins.com,US,Pigeon Forge TN,not stated,,reservations@bearcampcabins.com,https://www.bearcampcabins.com/vacation-rental-management/,online_booking,own,,lost,"Own online reservation capability from their website"
Carolina Mornings,carolinamornings.com,US,Asheville NC,"200+ properties listed by name",https://www.carolinamornings.com/propmanage/,none published,,online_booking,TrackHS (carolinamornings.trackhs.com),,lost,"TrackHS PMS; also fails the generic-mailbox qualifier"
Cottage Retreats,cottageretreats.net,UK,Pembrokeshire,not stated,,cottageretreatspembs@gmail.com,https://cottageretreats.net/,enquiry_form,none,,individuals,"Enquiry-only and no engine BUT count not stated and mailbox is gmail not own domain; no Ltd found - possible sole trader, PECR excludes"
Broads Escapes (Waterside Holidays Direct LLP),broadsescapes.co.uk,UK,Norfolk Broads,~15 named,https://www.broadsescapes.co.uk/,bookings@broadsescapes.co.uk,https://www.broadsescapes.co.uk/,online_booking,none named,OC356279,lost,"Reserve online already offered; LLP so PECR-eligible if angle changes"
Norfolk Cottage Agency,norfolkcottageagency.co.uk,UK,Norfolk,not stated,,hello@norfolkcottageagency.co.uk,https://norfolkcottageagency.co.uk/,portal,SuperControl,15444424,lost,"SuperControl owner portal"
Amazing Apartments,amazingapartments.co.uk,UK,Edinburgh & Aviemore,8+ shown with Load More,https://amazingapartments.co.uk/,contactus@amazingapartments.co.uk,https://amazingapartments.co.uk/,online_booking,none named,,lost,"Own online booking via search tool; no company number published"
Ocean Serviced Apartments,oceanservicedapts.com,UK,Edinburgh,not stated,,none published,,online_booking,STAAH,,lost,"STAAH booking engine; no email published"
Destination Edinburgh Ltd,destinationedinburghapartments.co.uk,UK,Edinburgh,not stated,,enquiries@destinationedinburghapartments.co.uk,https://destinationedinburghapartments.co.uk/,online_booking,Guestline,,lost,"Guestline booking engine"
North Wales Holiday Cottages Ltd,northwalesholidaycottages.co.uk,UK,Deganwy Conwy,10,https://www.northwalesholidaycottages.co.uk/cottages,info@northwalesholidaycottages.co.uk,https://www.northwalesholidaycottages.co.uk/,enquiry_form,none,09827850,new,"QUALIFIES: 10 cottages counted, enquiry-only, generic mailbox on own domain, active Ltd (inc. 2015 Deganwy - matches site location)"
Wayford Marine Ltd (Norfolk Holiday Accommodation),norfolkholidayaccommodation.co.uk,UK,Norfolk Broads,6,https://www.norfolkholidayaccommodation.co.uk/,enquiries@norfolkholidayaccommodation.co.uk,https://www.norfolkholidayaccommodation.co.uk/,enquiry_form,none,04193213,new,"QUALIFIES: 6 named properties, book direct with owners but enquiry-only, generic mailbox, active Ltd inc. 2001"
Wales Cottages,walescottages.com,UK,Wales,not stated,,obfuscated by Cloudflare,,broken_widget,none,,new,"Booking form fails to load - literal broken_widget case. Needs property count + Companies House match before contact"
Serviced Lettings,serviced-lettings.co.uk,UK,Edinburgh,5 on Edinburgh page,https://www.serviced-lettings.co.uk/edinburgh-serviced-apartments/,stay@serviced-lettings.com,https://www.serviced-lettings.co.uk/edinburgh-serviced-apartments/,enquiry_form,none,UNVERIFIED,new,"Enquiry-only and generic mailbox BUT no confident Companies House match - do not contact until the legal entity is confirmed"
